"Concrete Grade","Concrete Source","Qty.","Age","Weight in Kg.","Density in MT/m3","Load in KN","Comp. Strength in %"
"M-15","ACC PLANT","32 M3",28,8.315,2463.7037037037,510.1,145.274074074074
"M-15","ACC PLANT","32 M3",28,8.392,2486.51851851852,471.5,145.274074074074
"M-15","ACC PLANT","32 M3",28,8.41,2491.85185185185,489.3,145.274074074074
"M-15","ACC PLANT","52M3",7,8.199,2429,251.9,74
"M-15","ACC PLANT","52M3",7,8.254,2446,260.2,74
"M-15","ACC PLANT","52M3",7,8.25,2444,241.8,74
"M-15","ACC PLANT","52M3",28,8.45,2503,498.5,143.6
"M-15","ACC PLANT","52M3",28,8.385,2484.44444444444,482.1,143.6
"M-15","ACC PLANT","52M3",28,8.392,2486,473.4,143.6
"M-15","ACC PLANT","52M3",7,8.24,2441.48148148148,200.8,72.2271604938272
"M-15","ACC PLANT","52M3",7,8.312,2462.81481481481,245.2,72.2271604938272
"M-15","ACC PLANT","52M3",7,8.34,2471,285.4,72.2271604938272
"M-15","ACC PLANT","52M3",28,8.39,2485.92592592593,479.1,141.688888888889
"M-15","ACC PLANT","52M3",28,8.325,2466.66666666667,485.7,141.688888888889
"M-15","ACC PLANT","52M3",28,8.315,2463.7037037037,469.8,141.688888888889
"M-15","ACC PLANT","50M3",28,8.429,2497.48148148148,230.5,66.8246913580247
"M-15","ACC PLANT","50M3",28,8.346,2472.88888888889,219.8,66.8246913580247
"M-15","ACC PLANT","50M3",28,8.395,2487.40740740741,226.3,66.8246913580247
"M-15","ACC PLANT","50M3",28,8.34,2471.11111111111,498.5,143.604938271605
"M-15","ACC PLANT","50M3",28,8.445,2502.22222222222,482.1,143.604938271605
"M-15","ACC PLANT","50M3",28,8.305,2460.74074074074,473.4,143.604938271605
"M-15","ACC PLANT","50M3",7,8.261,2447.7037037037,245.9,81.5703703703704
"M-15","ACC PLANT","50M3",7,8.35,2474.07407407407,369.8,81.5703703703704
"M-15","ACC PLANT","50M3",7,8.464,2507.85185185185,210.2,81.5703703703704
"M-15","ACC PLANT","50M3",28,8.46,2506.66666666667,517.2,150.972839506173
"M-15","ACC PLANT","50M3",28,8.47,2509.62962962963,512.1,150.972839506173
